"","tmc_-100_-0.1","amc_-100_-0.1","war_-100_-0.1","ar_-100_-0.1","nc_-100_-0.1","tmc_-0.1_-0.05","amc_-0.1_-0.05","war_-0.1_-0.05","ar_-0.1_-0.05","nc_-0.1_-0.05","tmc_-0.05_-0.025","amc_-0.05_-0.025","war_-0.05_-0.025","ar_-0.05_-0.025","nc_-0.05_-0.025","tmc_-0.025_-0.01","amc_-0.025_-0.01","war_-0.025_-0.01","ar_-0.025_-0.01","nc_-0.025_-0.01","tmc_-0.01_0","amc_-0.01_0","war_-0.01_0","ar_-0.01_0","nc_-0.01_0","tmc_0_0.01","amc_0_0.01","war_0_0.01","ar_0_0.01","nc_0_0.01","tmc_0.01_0.025","amc_0.01_0.025","war_0.01_0.025","ar_0.01_0.025","nc_0.01_0.025","tmc_0.025_0.05","amc_0.025_0.05","war_0.025_0.05","ar_0.025_0.05","nc_0.025_0.05","tmc_0.05_0.1","amc_0.05_0.1","war_0.05_0.1","ar_0.05_0.1","nc_0.05_0.1","tmc_0.1_100","amc_0.1_100","war_0.1_100","ar_0.1_100","nc_0.1_100","lambda_best","averageMeanSquaredError"
"LASSO",1.48400048984938e-14,-2.41903033576134e-13,0.0332220894866935,0,-2.11739250138523e-06,5.89790078321431e-15,-4.44802094270877e-13,0.163445575822882,-1.88413276458108,-5.39277023563146e-05,1.3278885596173e-15,-3.38491909336276e-13,-0.802344287415186,6.93046785550305,1.62002440821472e-05,1.08020949203442e-15,0,-1.29054421804357,10.684035046053,0,3.22544139476325e-16,0,-1.49221765389946,8.76116006304494,2.04313285652932e-06,0,1.11728355874374e-13,-0.0190829259150016,-8.28562605425297,0,-1.85057376559186e-16,8.83935741540408e-14,0.253449373985074,0,0,-3.16000409418449e-16,0,-1.05022785766686,1.39342674357312,0,-6.54033612481294e-16,5.9092363579777e-14,-0.1794489962716,0,6.32166579634239e-07,1.45433988295806e-15,9.95270767587806e-14,0,-0.012834552241046,9.59035299746375e-06,0.000352662164628256,0.00532205783511966
"Ridge",1.02513173177327e-14,-1.29996121451329e-13,0.0125363915498244,0.0243036171414343,1.10119447436439e-07,2.3105730734592e-15,9.32221660032939e-14,0.259224895703068,-1.18506660990148,-2.40623597187704e-06,5.04402849118484e-16,3.45032977059231e-14,-0.535268257155982,4.15648057710737,1.81656788214436e-06,3.25694967137559e-16,1.92782611894527e-13,-0.443510805445176,5.74876402050707,2.65403255608518e-06,7.84334003004019e-17,9.47854288220338e-14,-1.57436882538355,1.22459026663407,3.09664307814337e-06,-3.0179168992627e-17,-1.74729725982546e-13,-0.727989323068672,-6.85380618268727,-9.25468033161892e-07,-1.47919050813303e-16,-3.83804177553686e-14,0.37535419737141,-0.122589099876626,-3.09285736762275e-06,-4.15577127390092e-16,-1.16710377929642e-13,-0.592149561566611,2.27487884822595,-4.76633729329033e-06,-6.20708158384928e-16,1.20575914883818e-13,-0.0797704592109859,0.356211586077868,-3.26514427243277e-06,1.3697725384709e-15,6.85848988971233e-14,0.00579226791248292,-0.0572895290525946,-1.14421180707763e-05,0.035084354100845,0.00520378709686425
"OLS",2.65348367315833e-14,-9.23416408418399e-13,0.0201375883357177,0.0483287488220612,-3.99882396083043e-05,7.843755994755e-15,-7.17667487804144e-13,0.47414576532049,-3.4649013012543,-0.000100476392654754,2.57928439822744e-15,-6.79262730738868e-13,-0.908169339838114,4.67141098829231,3.27942129003988e-05,2.04564642024018e-15,-8.11252104006942e-13,-0.499416059011341,16.4385264196268,-1.27942112702277e-05,2.60744256656369e-16,3.22012771495785e-13,-1.7510550107411,7.07305512318698,5.93794513704107e-06,-6.54097368020926e-16,1.36477331732548e-12,-0.52642967002259,-10.2158111739977,1.3209703712103e-05,-6.7999404636967e-16,6.27349441048776e-13,0.629234494173309,1.49928276099098,1.52163055089809e-05,-1.07264074763336e-15,2.20805785017093e-13,-0.895513342665999,2.70643545543821,-1.23621168544459e-06,-2.33466347905791e-15,6.00668213436322e-13,-0.151349727363012,0.0124577547912107,4.28509257398923e-05,7.62342700719357e-15,-2.50926103263168e-13,0.0101044412460298,-0.0889897458626897,-3.26015446040836e-05,0,0.00539387015295595
"Delta_LASSO_Ridge",4.58868758076113e-15,-1.11906912124806e-13,0.0206856979368692,-0.0243036171414343,-2.22751194882167e-06,3.58732770975511e-15,-5.38024260274171e-13,-0.0957793198801863,-0.699066154679601,-5.15214663844375e-05,8.23485710498813e-16,-3.72995207042199e-13,-0.267076030259204,2.77398727839569,1.43836762000029e-05,7.54514524896858e-16,-1.92782611894527e-13,-0.847033412598395,4.93527102554588,-2.65403255608518e-06,2.44110739175924e-16,-9.47854288220338e-14,0.0821511714840932,7.53656979641087,-1.05351022161405e-06,3.0179168992627e-17,2.8645808185692e-13,0.70890639715367,-1.4318198715657,9.25468033161892e-07,-3.71383257458834e-17,1.26773991909409e-13,-0.121904823386336,0.122589099876626,3.09285736762275e-06,9.95767179716433e-17,1.16710377929642e-13,-0.458078296100251,-0.881452104652823,4.76633729329033e-06,-3.33254540963663e-17,-6.14835513040409e-14,-0.0996785370606141,-0.356211586077868,3.897310852067e-06,8.45673444871601e-17,3.09421778616573e-14,-0.00579226791248292,0.0444549768115486,2.103247106824e-05,-0.0347316919362168,0.000118270738255404
"Delta_LASSO_OLS",-1.16948318330895e-14,6.81513374842264e-13,0.0130845011509758,-0.0483287488220612,3.7870847106919e-05,-1.94585521154069e-15,2.72865393533267e-13,-0.310700189497608,1.58076853667322,4.65486902984395e-05,-1.25139583861014e-15,3.40770821402592e-13,0.105825052422929,2.25905686721075,-1.65939688182516e-05,-9.65436928205766e-16,8.11252104006942e-13,-0.79112815903223,-5.75449137357385,1.27942112702277e-05,6.17998828199565e-17,-3.22012771495785e-13,0.258837356841644,1.68810493985796,-3.89481228051174e-06,6.54097368020926e-16,-1.25304496145111e-12,0.507346744107588,1.93018511974474,-1.3209703712103e-05,4.94936669810484e-16,-5.38955866894736e-13,-0.375785120188235,-1.49928276099098,-1.52163055089809e-05,7.56640338214913e-16,-2.20805785017093e-13,-0.154714515000863,-1.31300871186509,1.23621168544459e-06,1.68062986657662e-15,-5.41575849856545e-13,-0.0280992689085875,-0.0124577547912107,-4.2218759160258e-05,-6.16908712423551e-15,3.50453180021948e-13,-0.0101044412460298,0.0761551936216437,4.21918976015474e-05,0.000352662164628256,-7.18123178362904e-05
"Delta_Ridge_OLS",-1.62835194138506e-14,7.9342028696707e-13,-0.00760119678589335,-0.0240251316806269,4.00983590557407e-05,-5.5331829212958e-15,8.10889653807438e-13,-0.214920869617422,2.27983469135282,9.8070156682877e-05,-2.07488154910895e-15,7.13766028444791e-13,0.372901082682133,-0.51493041118494,-3.09776450182545e-05,-1.71995145310262e-15,1.00403471590147e-12,0.0559052535661648,-10.6897623991197,1.54482438263129e-05,-1.82310856355967e-16,-2.27227342673751e-13,0.176686185357551,-5.84846485655291,-2.8413020588977e-06,6.23918199028299e-16,-1.53950304330802e-12,-0.201559653046082,3.36200499131045,-1.41351717452649e-05,5.32074995556367e-16,-6.65729858804145e-13,-0.253880296801899,-1.62187186086761,-1.83091628766036e-05,6.5706362024327e-16,-3.37516162946736e-13,0.303363781099388,-0.431556607212263,-3.53012560784573e-06,1.71395532067298e-15,-4.80092298552504e-13,0.0715792681520265,0.343753831286657,-4.6116070012325e-05,-6.25365446872267e-15,3.19511002160291e-13,-0.00431217333354683,0.0317002168100951,2.11594265333074e-05,0.035084354100845,-0.000190083056091694
